CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name
         2x                         |        0.0s        0.0s                         | cpt::build_cdb
         2x                         |        0.1s        0.1s                         | cpt::canonize_cpt_for_cpp
         1x                         |        0.0s        0.0s                         | cpt::canonize_disables
         1x                         |        0.0s        0.0s                         | cpt::case2if
         1x                         |        0.0s        0.0s                         | cpt::ccov_hierarchy
         1x                         |        0.0s        0.0s                         | cpt::ccovercheck_dominator
         1x                         |        0.0s        0.0s                         | cpt::change_vhdl_arrayrange_bounds
         1x                         |        0.0s        0.0s                         | cpt::check_nonsynthesizables
         1x                         |        0.0s        0.0s                         | cpt::check_vhdl_nonsynth
         3x                         |        0.2s        0.2s                         | cpt::cleanup
         1x                         |        0.0s        0.0s                         | cpt::cleanup_attributes
         1x                         |        0.0s        0.0s                         | cpt::cleanup_empty_seq_block
         1x                         |        0.0s        0.0s                         | cpt::clear_link_design_flags
         1x                         |        0.0s        0.0s                         | cpt::coalesce_complex_port_maps
         2x                         |        0.0s        0.0s                         | cpt::coalesce_concats
         2x                         |        0.0s        0.0s                         | cpt::coalesce_multi_concats
         1x                         |        0.0s        0.0s                         | cpt::compute_checksums
         1x                         |        0.0s        0.0s                         | cpt::compute_struct_or_union_size
         2x                         |        0.0s        0.0s                         | cpt::concat2sel
         1x                         |        0.0s        0.0s                         | cpt::cond2sel
         4x                         |        0.0s        0.0s                         | cpt::const_fold
         2x                         |        0.0s        0.0s                         | cpt::const_prop
         2x                         |        0.0s        0.0s                         | cpt::const_prop_for_cpp
         1x                         |        0.0s        0.0s                         | cpt::convert_bitfields_to_bitvector
         1x                         |        0.0s        0.0s                         | cpt::convert_coverstmt_to_cvrassert
         1x                         |        0.0s        0.0s                         | cpt::convert_enums_to_ints
         1x                         |        0.0s        0.0s                         | cpt::convert_init_stmt_to_cpp_init_block
         1x                         |        0.0s        0.0s                         | cpt::convert_posassoc_to_namedassoc
         1x                         |        0.0s        0.0s                         | cpt::convert_std_fpoint_func_to_builtins
         1x                         |        0.0s        0.0s                         | cpt::convert_types
         1x                         |        0.0s        0.0s                         | cpt::convert_upto_bit_ranges
         1x                         |        0.0s        0.0s                         | cpt::convert_vhdl_arith_shifts
         1x                         |        0.0s        0.0s                         | cpt::convert_vhdl_attr_to_func
         1x                         |        0.0s        0.0s                         | cpt::cover_check
         1x                         |        0.0s                                     | cpt::cover_check_reporter
         1x                         |        0.1s        0.1s                         | cpt::cpp_elaborate
         1x                         |        0.0s        0.0s                         | cpt::cpp_predicate_continue_stmt
         1x                         |        0.0s        0.0s                         | cpt::cpt_create_temp_aggregates
         1x                         |        0.0s        0.0s                         | cpt::cpt_handle_bbox
         1x                         |        0.0s        0.0s                         | cpt::cpt_insert_waits_forcpc
         1x                         |        0.0s        0.0s                         | cpt::cpt_name_always_blocks_parallel_sels
         1x                         |        0.0s        0.0s                         | cpt::cpt_number_always_blocks
         1x                         |        0.0s        0.0s                         | cpt::cpt_optmize_black_boxes
         2x                         |        0.0s        0.0s                         | cpt::create_cdb_symbols
         1x                         |        0.0s        0.0s                         | cpt::create_init_for_uninitialized_global_ctype_decls
         2x                         |        0.0s        0.0s                         | cpt::create_tmp
         1x                         |        0.0s        0.0s                         | cpt::cross_file_link
         1x                         |        0.0s        0.0s                         | cpt::cross_hier_refs
         1x                         |        0.0s        0.0s                         | cpt::deadcode
         1x                         |        0.0s        0.0s                         | cpt::delete_loop_var_assigns
         1x                         |        0.0s        0.0s                         | cpt::detect_and_resolve_multidriver
         1x                         |        0.0s        0.0s                         | cpt::dissolve_block_names
         1x                         |        0.0s        0.0s                         | cpt::dissolve_init_repeats
         1x                         |        0.0s        0.0s                         | cpt::dissolve_nested_blocks
         1x                         |        0.0s        0.0s                         | cpt::distill_modcalls
         1x                         |        0.0s        0.0s                         | cpt::distill_selects
         9x                         |        0.1s        0.0s                         | cpt::do_design_checks
         1x                         |        0.0s        0.0s                         | cpt::down_scope_consts
         1x                         |        0.0s        0.0s                         | cpt::down_scope_signals_in_pkg
         1x                         |        0.0s        0.0s                         | cpt::elaborate
         2x                         |        0.0s        0.0s                         | cpt::enclose_conc_calls
         1x                         |        0.0s        0.0s                         | cpt::fill_assignment_operators
         1x                         |        0.0s        0.0s                         | cpt::flatten_vhdl_ports
         1x                         |        0.0s        0.0s                         | cpt::for2while
         1x                         |        0.0s        0.0s                         | cpt::foreach2for
         1x                         |        0.0s        0.0s                         | cpt::func2task
        97x                         |        0.0s        0.0s                         | cpt::generate_node_heat_map
         1x                         |        0.0s        0.0s                         | cpt::generate_temp_for_cpp
        10x                         |        0.0s        0.0s                         | cpt::get_cptroot
         8x                         |        0.0s        0.0s                         | cpt::get_language
         2x                         |        0.0s        0.0s                         | cpt::get_top_cptroot
         1x                         |        0.0s        0.0s                         | cpt::handle_ac_probe_stmts
         1x                         |        0.0s        0.0s                         | cpt::handle_ac_probes
         1x                         |        0.2s        0.2s                         | cpt::handle_ac_sc_constructs_natively
         1x                         |        0.0s        0.0s                         | cpt::handle_acchannel_size
         1x                         |        0.0s        0.0s                         | cpt::handle_acinitarray_for_multidim_arrays
         1x                         |        0.0s        0.0s                         | cpt::handle_bitset
         1x                         |        0.0s        0.0s                         | cpt::handle_builtins
         1x                         |        0.0s        0.0s                         | cpt::handle_ccores
         1x                         |        0.0s        0.0s                         | cpt::handle_complex_sv_formals
         1x                         |        0.0s        0.0s                         | cpt::handle_cpp_initializations
         1x                         |        0.0s        0.0s                         | cpt::handle_float_types_natively
         1x                         |        0.0s        0.0s                         | cpt::handle_goto
